QueryIdx	HitIdx	Query Description	Query Cover	Per. Ident	Score (bits)	E-value	Match Description	Accession Link
1	1	ctg11744_1_0_4755_neg	100.00%	98.99%	3203	0.0	L-threonine 3-dehydrogenase [Candidatus Udaeobacter sp.]	https://www.ncbi.nlm.nih.gov/protein/KAG0505819?report=genbank
1	2	ctg11744_1_0_4755_neg	100.00%	97.85%	3174	0.0	beta-ketoacyl synthase [Verrucomicrobia bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYJ35903?report=genbank
1	3	ctg11744_1_0_4755_neg	100.00%	97.92%	3170	0.0	beta-ketoacyl synthase [Verrucomicrobia bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYJ57673?report=genbank
3	1	ctg86733_1_0_3807_pos	90.23%	70.97%	1669	0.0	amino acid adenylation domain-containing protein,	https://www.ncbi.nlm.nih.gov/protein/TMA90840?report=genbank
3	2	ctg86733_1_0_3807_pos	99.05%	56.01%	1440	0.0	non-ribosomal peptide synthase [Nostoc sp.	https://www.ncbi.nlm.nih.gov/protein/ADL59762?report=genbank
3	3	ctg86733_1_0_3807_pos	98.98%	55.90%	1436	0.0	non-ribosomal peptide synthetase [Nostoc sp.	https://www.ncbi.nlm.nih.gov/protein/WP_104898775?report=genbank
4	1	ctg80208_1_0_3615_neg	99.67%	76.45%	1902	0.0	hypothetical protein DMF62_14965 [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYS86725?report=genbank
4	2	ctg80208_1_0_3615_neg	99.34%	68.70%	1720	0.0	AMP-binding protein [Methyloceanibacter sp.]	https://www.ncbi.nlm.nih.gov/protein/MBQ0817666?report=genbank
4	3	ctg80208_1_0_3615_neg	99.67%	67.46%	1675	0.0	FIG01038337: hypothetical protein [Olavius algarvensis	https://www.ncbi.nlm.nih.gov/protein/CAB1071350?report=genbank
5	1	ctg212_30_28651_32206_neg	75.42%	61.38%	1093	0.0	hypothetical protein AUI64_03230 [Acidobacteria bacterium	https://www.ncbi.nlm.nih.gov/protein/OLD55650?report=genbank
5	2	ctg212_30_28651_32206_neg	75.42%	61.27%	1091	0.0	hypothetical protein AUH72_21160 [Acidobacteria bacterium	https://www.ncbi.nlm.nih.gov/protein/OLC74875?report=genbank
5	3	ctg212_30_28651_32206_neg	75.42%	61.16%	1090	0.0	hypothetical protein AUH43_05000 [Acidobacteria bacterium	https://www.ncbi.nlm.nih.gov/protein/OLC50434?report=genbank
6	1	ctg113564_1_0_3234_neg	98.61%	54.95%	1072	0.0	amino acid adenylation domain-containing protein	https://www.ncbi.nlm.nih.gov/protein/MBL8834623?report=genbank
6	2	ctg113564_1_0_3234_neg	90.82%	54.83%	1034	0.0	amino acid adenylation domain-containing protein	https://www.ncbi.nlm.nih.gov/protein/MBI3434538?report=genbank
7	1	ctg5941_1_0_3039_neg	89.93%	54.86%	1045	0.0	non-ribosomal peptide synthetase [Microcoleaceae bacterium	https://www.ncbi.nlm.nih.gov/protein/HAT16035?report=genbank
7	2	ctg5941_1_0_3039_neg	93.09%	53.70%	1031	0.0	non-ribosomal peptide synthetase [Blastocatellia bacterium]	https://www.ncbi.nlm.nih.gov/protein/HBB98647?report=genbank
7	3	ctg5941_1_0_3039_neg	90.33%	54.22%	1022	0.0	amino acid adenylation domain-containing protein	https://www.ncbi.nlm.nih.gov/protein/WP_155744000?report=genbank
8	1	ctg2817_9_5497_8524_pos	99.21%	88.49%	1835	0.0	hypothetical protein DMF69_07565 [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYS72448?report=genbank
8	2	ctg2817_9_5497_8524_pos	99.80%	73.92%	1543	0.0	peptidase domain-containing ABC transporter [Pyrinomonadaceae	https://www.ncbi.nlm.nih.gov/protein/MBC7912318?report=genbank
