QueryIdx	HitIdx	Query Description	Query Cover	Per. Ident	Score (bits)	E-value	Match Description	Accession Link
1	1	ctg335_43_46182_46869_neg lassopeptide biosynthetic-additional	100.00%	75.53%	377	2.09271e-130	radical SAM protein [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/MBS1842027?report=genbank
1	2	ctg335_43_46182_46869_neg lassopeptide biosynthetic-additional	99.56%	78.35%	376	3.25658e-130	7-carboxy-7-deazaguanine synthase [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYT81852?report=genbank
1	3	ctg335_43_46182_46869_neg lassopeptide biosynthetic-additional	100.00%	77.92%	372	9.65812e-129	7-carboxy-7-deazaguanine synthase [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYT74913?report=genbank
2	1	ctg783_48_47443_48136_neg lassopeptide biosynthetic-additional	100.00%	89.13%	426	6.86945e-150	7-carboxy-7-deazaguanine synthase [Acidobacteria bacterium] >gb|PYU76972.1|	https://www.ncbi.nlm.nih.gov/protein/PYU45003?report=genbank
2	2	ctg783_48_47443_48136_neg lassopeptide biosynthetic-additional	100.00%	90.04%	424	5.0726e-149	7-carboxy-7-deazaguanine synthase [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYU84858?report=genbank
2	3	ctg783_48_47443_48136_neg lassopeptide biosynthetic-additional	100.00%	88.70%	422	1.41784e-148	7-carboxy-7-deazaguanine synthase [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYU62410?report=genbank
3	1	ctg2192_24_23946_25296_neg bacteriocin biosynthetic-additional	95.55%	79.25%	705	0.0	peptidase M20 [Acidobacteria bacterium 13_2_20CM_57_17]	https://www.ncbi.nlm.nih.gov/protein/OLB39008?report=genbank
3	2	ctg2192_24_23946_25296_neg bacteriocin biosynthetic-additional	95.55%	79.02%	701	0.0	amidohydrolase [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYU48558?report=genbank
3	3	ctg2192_24_23946_25296_neg bacteriocin biosynthetic-additional	98.44%	76.47%	700	0.0	hypothetical protein AUH16_06330 [Acidobacteria bacterium	https://www.ncbi.nlm.nih.gov/protein/OLB19826?report=genbank
4	1	ctg214_64_77583_78279_pos lassopeptide biosynthetic-additional	100.00%	90.30%	429	6.33653e-151	radical SAM protein [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/MBS1842027?report=genbank
